route,day_num,day_name,month,avg_in,total_in
Route 1 Red Cliffs,4,Friday,2025-06,223.5,894
Route 3 West Side Connector,4,Friday,2025-06,220.8,883
Route 4 Sunset,4,Friday,2025-06,176.2,705
Route 2 Riverside,4,Friday,2025-06,215.0,860
Route 6 Dixie Dr South,4,Friday,2025-06,95.2,381
Route 5 Ivins,4,Friday,2025-06,64.5,258
Route 7 Washington,4,Friday,2025-06,94.2,377
Route 8 Zion,4,Friday,2025-06,77.8,311
Route 1 Red Cliffs,5,Saturday,2025-06,200.8,803
Route 3 West Side Connector,5,Saturday,2025-06,224.8,899
Route 4 Sunset,5,Saturday,2025-06,152.2,609
Route 2 Riverside,5,Saturday,2025-06,225.5,902
Route 6 Dixie Dr South,5,Saturday,2025-06,83.5,334
Route 5 Ivins,5,Saturday,2025-06,59.8,239
Route 7 Washington,5,Saturday,2025-06,89.2,357
Route 8 Zion,5,Saturday,2025-06,84.0,336
Route 1 Red Cliffs,1,Tuesday,2025-07,213.6,1068
Route 3 West Side Connector,1,Tuesday,2025-07,249.0,1245
Route 4 Sunset,1,Tuesday,2025-07,169.2,846
Route 2 Riverside,1,Tuesday,2025-07,221.0,1105
Route 6 Dixie Dr South,1,Tuesday,2025-07,88.4,442
Route 5 Ivins,1,Tuesday,2025-07,64.8,324
Route 7 Washington,1,Tuesday,2025-07,81.8,409
Route 8 Zion,1,Tuesday,2025-07,77.0,385
Route 1 Red Cliffs,2,Wednesday,2025-07,242.6,1213
Route 3 West Side Connector,2,Wednesday,2025-07,258.4,1292
Route 4 Sunset,2,Wednesday,2025-07,185.8,929
Route 2 Riverside,2,Wednesday,2025-07,237.2,1186
Route 6 Dixie Dr South,2,Wednesday,2025-07,104.8,524
Route 5 Ivins,2,Wednesday,2025-07,76.6,383
Route 7 Washington,2,Wednesday,2025-07,97.2,486
Route 8 Zion,2,Wednesday,2025-07,88.6,443
Route 1 Red Cliffs,3,Thursday,2025-07,211.2,845
Route 3 West Side Connector,3,Thursday,2025-07,238.5,954
Route 4 Sunset,3,Thursday,2025-07,167.0,668
Route 2 Riverside,3,Thursday,2025-07,224.8,899
Route 6 Dixie Dr South,3,Thursday,2025-07,84.8,339
Route 5 Ivins,3,Thursday,2025-07,63.8,255
Route 7 Washington,3,Thursday,2025-07,85.0,340
Route 8 Zion,3,Thursday,2025-07,72.8,291
Route 1 Red Cliffs,5,Saturday,2025-07,197.0,788
Route 3 West Side Connector,5,Saturday,2025-07,220.8,883
Route 4 Sunset,5,Saturday,2025-07,149.5,598
Route 2 Riverside,5,Saturday,2025-07,221.5,886
Route 6 Dixie Dr South,5,Saturday,2025-07,82.0,328
Route 5 Ivins,5,Saturday,2025-07,58.8,235
Route 7 Washington,5,Saturday,2025-07,87.8,351
Route 8 Zion,5,Saturday,2025-07,82.5,330
Route 1 Red Cliffs,0,Monday,2025-07,228.0,912
Route 3 West Side Connector,0,Monday,2025-07,234.2,937
Route 4 Sunset,0,Monday,2025-07,175.5,702
Route 2 Riverside,0,Monday,2025-07,230.0,920
Route 6 Dixie Dr South,0,Monday,2025-07,88.8,355
Route 5 Ivins,0,Monday,2025-07,68.0,272
Route 7 Washington,0,Monday,2025-07,93.2,373
Route 8 Zion,0,Monday,2025-07,83.5,334
Route 1 Red Cliffs,4,Friday,2025-07,228.7,686
Route 3 West Side Connector,4,Friday,2025-07,226.0,678
Route 4 Sunset,4,Friday,2025-07,180.3,541
Route 2 Riverside,4,Friday,2025-07,220.0,660
Route 6 Dixie Dr South,4,Friday,2025-07,97.7,293
Route 5 Ivins,4,Friday,2025-07,66.0,198
Route 7 Washington,4,Friday,2025-07,96.3,289
Route 8 Zion,4,Friday,2025-07,79.3,238
Route 1 Red Cliffs,4,Friday,2025-08,246.0,1230
